entity_type,entity_id,entity_slug,full_slug
artist,1150,blinky-bill-chemutai-sage-sarah-mitaru-wambura-mitaru-lisa-oduor-noah,blinky-bill-chemutai-sage-sarah-mitaru-wambura-mitaru-lisa-oduor-noah
artist,1151,watendawili-coster-ojwang,watendawili-coster-ojwang
artist,1152,shad-mziki-coster-ojwang,shad-mziki-coster-ojwang
artist,1153,ochiko-coster-ojwang,ochiko-coster-ojwang
artist,1154,vic-west-fathermoh-collo-blue-becky-malosh,vic-west-fathermoh-collo-blue-becky-malosh
artist,1155,bensoul-vic-west-malosh,bensoul-vic-west-malosh
artist,1156,vic-west-fathermoh-savara-brandy-maina-thee-exit-band,vic-west-fathermoh-savara-brandy-maina-thee-exit-band
artist,1157,bensoul-vic-west,bensoul-vic-west
artist,1158,bensoul-vic-west-ndovu-kuu-harry-craze-fathermoh,bensoul-vic-west-ndovu-kuu-harry-craze-fathermoh
artist,1159,bensoul-vic-west-ssaru,bensoul-vic-west-ssaru
artist,116,dj-mac,dj-mac
artist,1160,caleb-awiti-faygos-paradise,caleb-awiti-faygos-paradise
artist,1161,caleb-awiti-zowie-kengocha,caleb-awiti-zowie-kengocha
artist,1162,lilmaina-caleb-awiti,lilmaina-caleb-awiti
artist,1163,mutoriah-the-babaz-hornsphere,mutoriah-the-babaz-hornsphere
artist,1164,hornsphere-mutoriah-aliye-noi,hornsphere-mutoriah-aliye-noi
artist,1165,mutoriah-serro,mutoriah-serro
artist,1166,mutoriah-billy-black,mutoriah-billy-black
artist,1167,mutoriah-bensoul,mutoriah-bensoul
artist,1168,bryan-swazi-scar-mkadinali,bryan-swazi-scar-mkadinali
artist,1169,lilmaina-scar-mkadinali,lilmaina-scar-mkadinali
artist,117,dj-maphorisa,dj-maphorisa
artist,1170,wangechi-scar-mkadinali-domani-mkadinali-sewersydaa,wangechi-scar-mkadinali-domani-mkadinali-sewersydaa
artist,1171,mr-seed-scar-mkadinali,mr-seed-scar-mkadinali
artist,1172,ritzy-scar-mkadinali-wakadinali,ritzy-scar-mkadinali-wakadinali
artist,1173,wyre-gramps-morgan-peetah-morgan,wyre-gramps-morgan-peetah-morgan
artist,1174,wyre-j-b-maina,wyre-j-b-maina
artist,1175,wyre-alaine,wyre-alaine
artist,1176,wyre-luciano,wyre-luciano
artist,1177,wyre-cecile,wyre-cecile
artist,1178,pam-wyre-nyashinski-abass-jua-cali-nameless,pam-wyre-nyashinski-abass-jua-cali-nameless
artist,1179,boutross-juicee-mann,boutross-juicee-mann
artist,118,dj-merv,dj-merv
artist,1180,boutross-1da-banton-konshens-juicee-mann,boutross-1da-banton-konshens-juicee-mann
